timestamp,price
31290085,27.31
31297293,27.3
31329492,27.31
31329864,27.32
31347050,27.31
31386100,27.32
31533732,27.33
31961514,27.3
31967247,27.33
31977716,27.3
32009519,27.33
32561724,27.32
32590238,27.33
32785049,27.32
32849199,27.31
32854446,27.32
33005647,27.39
33005648,27.33
33054326,27.39
33079363,27.38
33119762,27.33
33152776,27.38
33334367,27.31
33371480,27.38
33515979,27.33
33680817,27.38
33728895,27.32
33731524,27.38
33807434,27.3
33818005,27.29
33820323,27.3
33842255,27.38
33842256,27.32
34055407,27.31
34058374,27.32
34061157,27.38
34061158,27.33
34110025,27.32
34111574,27.31
34127990,27.32
34172446,27.29
34186512,27.28
34187873,27.27
34193704,27.26
34195121,27.25
34196297,27.26
34196735,27.27
34200699,27.26
34200749,27.25
34200999,27.23
34201184,27.25
34202962,27.24
34205344,27.25
34205726,27.26
34205743,27.25
34205770,27.24
34206176,27.25
34206309,27.26
34206441,27.24
34206531,27.25
34206871,27.26
34207237,27.27
34207482,27.26
34207583,27.27
34207657,27.28
34208020,27.27
34208052,27.28
34209057,27.27
34209143,27.25
34210749,27.24
34210801,27.23
34210846,27.22
34215660,27.23
34219031,27.24
34219331,27.25
34220662,27.24
34220753,27.25
34220776,27.26
34221004,27.25
34221203,27.26
34221324,27.27
34221366,27.28
34221531,27.29
34222068,27.28
34222269,27.29
34223556,27.28
34223573,27.27
34223578,27.26
34223591,27.24
34223645,27.23
34223646,27.22
34223654,27.2
34223658,27.19
34223709,27.18
34223711,27.17
34223762,27.16
34223888,27.15
34223919,27.11
34223920,27.15
34223921,27.11
34223922,27.15
34223971,27.14
34224023,27.15
34224135,27.14
34224203,27.15
34224256,27.14
34224273,27.15
34224285,27.14
34224584,27.15
34224654,27.14
34224670,27.15
34225536,27.13
34227740,27.12
34228334,27.11
34228344,27.1
34228565,27.11
34228884,27.1
34229128,27.11
34229210,27.12
34230215,27.11
34231545,27.12
34231938,27.1
34231965,27.09
34232096,27.12
34232207,27.11
34232210,27.12
34232257,27.13
34232259,27.12
34232604,27.11
34232629,27.1
34232833,27.09
34232873,27.1
34233025,27.11
34233332,27.12
34233383,27.11
34233396,27.1
34233412,27.09
34234371,27.1
34235085,27.08
34235194,27.09
34236258,27.08
34236655,27.09
34236814,27.08
34236834,27.09
34237219,27.08
34238202,27.09
34238255,27.08
34238544,27.09
34239067,27.1
34239714,27.11
34241663,27.12
34241847,27.13
34243993,27.12
34247449,27.13
34247837,27.12
34260479,27.11
34260485,27.1
34260631,27.09
34260632,27.11
34260635,27.1
34260715,27.11
34260773,27.1
34260845,27.11
34272204,27.12
34272339,27.13
34272424,27.14
34272475,27.15
34274051,27.16
34274570,27.17
34274615,27.18
34276819,27.17
34277680,27.18
34280719,27.17
34282573,27.16
34288099,27.17
34288419,27.18
34290735,27.17
34291768,27.16
34291960,27.17
34293747,27.16
34294005,27.17
34294310,27.18
34296490,27.19
34299596,27.18
34306138,27.19
34306470,27.2
34308290,27.19
34308442,27.2
34309443,27.19
34309469,27.18
34310503,27.19
34310532,27.2
34311438,27.19
