timestamp,price
31260638,27.3
31329864,27.31
31468449,27.32
31967247,27.3
32744561,27.32
32943344,27.31
32943353,27.3
33494784,27.32
33734461,27.29
33842255,27.3
34061157,27.32
34140669,27.3
34145532,27.29
34162585,27.28
34172440,27.27
34172446,27.26
34177510,27.27
34177517,27.26
34187868,27.25
34187872,27.24
34195101,27.23
34196297,27.25
34196449,27.23
34196735,27.26
34197481,27.23
34200066,27.22
34200698,27.21
34200748,27.2
34201149,27.23
34201206,27.22
34202961,27.21
34205316,27.24
34205542,27.25
34205722,27.24
34205726,27.25
34205742,27.23
34205762,27.22
34205769,27.2
34206176,27.24
34206309,27.25
34206441,27.24
34206871,27.25
34206883,27.26
34207657,27.27
34208005,27.26
34208009,27.25
34208019,27.21
34208029,27.27
34209142,27.25
34210748,27.21
34210752,27.2
34212432,27.22
34212945,27.2
34215660,27.22
34218170,27.23
34219331,27.24
34219680,27.25
34220753,27.24
34221203,27.25
34221324,27.26
34221366,27.27
34221531,27.28
34221644,27.29
34222269,27.28
34223432,27.29
34223549,27.27
34223552,27.25
34223560,27.24
34223577,27.23
34223586,27.21
34223645,27.2
34223646,27.18
34223654,27.15
34223657,27.17
34223662,27.14
34223663,27.13
34223709,27.15
34223741,27.13
34223761,27.12
34223768,27.11
34223887,27.14
34223920,27.11
34223970,27.1
34224023,27.14
34224082,27.15
34224135,27.1
34224166,27.09
34224203,27.14
34224285,27.08
34224417,27.07
34224584,27.14
34225437,27.09
34225536,27.1
34227050,27.12
34227059,27.1
34228880,27.09
34229115,27.1
34229210,27.11
34231938,27.09
34231965,27.08
34232210,27.11
34232257,27.12
34232603,27.09
34232628,27.08
34232802,27.1
34232873,27.09
34233025,27.1
34233332,27.11
34233373,27.09
34233375,27.08
34233412,27.1
34233414,27.07
34233509,27.09
34235084,27.08
34235085,27.07
34235194,27.08
34236257,27.07
34236654,27.08
34236813,27.07
34236834,27.08
34237218,27.07
34237263,27.06
34237865,27.08
34238254,27.07
34239067,27.09
34239714,27.1
34240302,27.11
34241256,27.1
34241663,27.11
34241674,27.1
34241847,27.12
34247836,27.11
34250034,27.12
34259233,27.11
34259238,27.12
34259639,27.11
34260484,27.1
34260630,27.09
34260631,27.1
34260632,27.1
34260976,27.11
34261643,27.1
34265501,27.11
34266468,27.1
34267424,27.11
34267962,27.1
34272050,27.11
34272339,27.12
34272424,27.13
34272436,27.14
34274051,27.15
34274570,27.16
34274615,27.17
34276818,27.16
34282574,27.15
34285136,27.16
34286738,27.15
34288099,27.16
34288419,27.17
34288420,27.16
34289047,27.17
34289430,27.18
34290730,27.16
34291960,27.17
34292486,27.15
34294005,27.16
34294310,27.17
34296490,27.18
34298649,27.17
34302067,27.18
34304864,27.17
34306131,27.18
34306460,27.19
34306478,27.18
34309442,27.17
34310503,27.18
34310532,27.2
34311436,27.18
34312057,27.19
34313699,27.2
34314788,27.19
34315078,27.2
34316384,27.21
34317362,27.2
34317483,27.22
34317612,27.21
34319796,27.2
34325394,27.19
34325488,27.2
34326554,27.19
34327550,27.18
34327555,27.17
34328643,27.18
34328793,27.16
34328943,27.17
34334261,27.18
34346859,27.17
34350570,27.18
34350784,27.19
34350885,27.2
34350887,27.19
34350960,27.21
34351040,27.22
34351146,27.23
34351189,27.21
34351194,27.2
34351957,27.19
34351976,27.18
34352408,27.19
34354149,27.18
34354192,27.17
34354194,27.18
34355511,27.16
34358885,27.18
34358901,27.17
34358903,27.18
34358935,27.19
34359644,27.17
34359670,27.17
34359706,27.16
34360355,27.17
34363302,27.15
34363482,27.14
34363489,27.13
34364198,27.14
34364261,27.13
34364812,27.12
34365224,27.13
34365226,27.12
34365227,27.14
34365404,27.12
34368888,27.11
34370071,27.12
34370322,27.11
34382498,27.1
34382587,27.11
34383356,27.09
34383593,27.08
34384307,27.07
34386747,27.08
34388906,27.07
34388918,27.08
34388934,27.07
34390235,27.06
34390264,27.05
34390292,27.07
34390327,27.05
34390512,27.03
34390533,27.06
34390535,27.06
34390604,27.04
34390686,27.01
34390709,27.02
34390750,27.01
34390763,27.0
34392707,27.01
34393125,26.99
34393556,27.01
34393558,27.0
34398305,26.99
34398327,26.98
34398331,26.97
34398334,26.96
34398349,26.95
34398556,26.94
34398557,26.93
34398574,26.92
34398607,26.93
34398609,26.92
34398617,26.93
34398710,26.92
34398724,26.93
34398726,26.92
34399593,26.91
34399605,26.93
34400565,26.94
34400867,26.93
34401175,26.92
34401727,26.94
34401893,26.95
34402253,26.96
34403429,26.97
34403431,26.95
34403997,26.94
34404812,26.96
34406393,26.97
34406416,26.98
34406479,26.99
34406491,26.98
34410627,26.99
34410645,27.0
34411209,27.01
34412276,27.0
34413353,27.01
34413449,27.02
34413531,27.03
34413558,27.04
34414791,27.02
34418384,27.03
34424678,27.02
34425737,27.03
34428585,27.02
34431135,27.04
34432596,27.03
34433037,27.05
34433055,27.06
34433346,27.07
34433549,27.06
34433756,27.08
34434222,27.09
34440221,27.08
34440612,27.1
34440674,27.09
34443014,27.1
34445089,27.09
34445993,27.08
34465713,27.07
34466444,27.08
34467679,27.07
34471829,27.06
34472892,27.05
